Symbol,DIS,ALLE,TGT,CMCSA,GD,TAP,MYL,T,NLSN,HST,HSIC,EXPE,NWS,NWSA,CAH,HAS,ROST,HCA,HII,BIIB,TJX,TSCO,ALL,DVA,DISCA,AAP,DISCK,WY,WU,KMX,WBA,GILD,ADM,CVS,BA,AIG,JCI,DLTR,IFF,LUV,UHS,DISH,MPC,HFC,MRO,EOG,OXY,NBL,OKE,CXO,COP,HP,DVN,NOV,HES,CVX,BKR,APA,FTI,SLB,PSX,FANG,PXD,VLO,XOM,WMB,HAL,NWL,IVZ,LB,MOS,GPS,ALK,SCHW,CF,CMA,HBAN,JWN,KSS,FRC,HBI,KHC,DD,LNC,KEY,DFS,MET,FITB,TFC,WFC,UNM,ZION,USB,COF,BAC,MTB,MS,PBCT,NTRS,RJF,PFG,RF,C,STT,JPM,GS,BK,BEN,PRU,PNC,ETFC,CFG,EMR,EMN,GLW,ETN,FBHS,DOV,HOG,HON,GM,IPGP,HPE,INTC,FFIV,FAST,FDX,FCX,IBM,EXPD,FLS,ITW,PNR,PH,PPG,RHI,ROK,APTV,APH,RTX,SIVB,SNA,SWK,AMP,AME,TEL,TROW,TXT,UPS,URI,VFC,XYL,BLK,PCAR,FTV,MAR,LYB,BWA,MAS,MMM,CMI,LKQ,CE,LEG,CCL,NUE,CAT,NTAP,GOOGL,UNP,GL,L,UAA,WAT,KSU,GOOG,UA,OMC,LOW,LRCX,SYF,IEX,MTD,NSC,KEYS,HD,PKI,HLT,GPC,KLAC,A,CBRE,AXP,EBAY,AAPL,CSX,AMZN,BKNG,ADI,PVH,PRGO,BBY,PKG,ORCL,ODFL,NVDA,NCLH,PWR,MXIM,MU,MHK,MGM,MCHP,LVS,CSCO,DAL,DE,JNPR,CHRW,AVY,QRVO,JBHT,ZBRA,AAL,XRX,XLNX,WYNN,WRK,WHR,WDC,WAB,ADS,UAL,TXN,ALB,TPR,TIF,AMAT,SWKS,STX,ANET,AOS,RL,AVGO,RCL,QCOM,J,GE,IPG,F,IP,HPQ,GWW,FMC,FLIR,IR,DXC,AMCR,CME,NEM,LW,HSY,EIX,DHI,HRL,DXCM,CBOE,ATO,NI,SRE,ED,ETR,EXC,DTE,PEG,AEP,AEE,DUK,PNW,D,FE,VTR,ES,NEE,PEAK,EVRG,CMS,AWK,PSA,WEC,XEL,O,WELL,AMT,LNT,SO,EXR,TWTR,CTXS,CTSH,BDX,AMD,ABBV,ILMN,TMO,NFLX,GRMN,CPRT,BAX,VAR,FB,LIN,ISRG,AZO,LH,PFE,IQV,ZBH,COO,ABT,CDNS,SHW,FLT,APD,ROP,CDW,EFX,PYPL,PAYX,BR,ECL,JKHY,IT,WLTW,AON,VRSN,SNPS,ADP,V,ADBE,MA,ADSK,ACN,AFL,MCO,LDOS,INTU,ANSS,AJG,CTAS,HIG,GPN,SPGI,NKE,TDG,MSCI,MSFT,MMC,INFO,EQR,FRT,REG,UDR,AIV,AVB,ARE,ESS,DRE,PLD,KIM,MAA,DLR,PHM,CNP,AES,GIS,CLX,CPB,CAG,VZ,SJM,LEN,BMY,NRG,DG,K,CMG,PPL,NVR,MLM,SBAC,CCI,MKTX,TSN,EQIX,CHD,MKC,TTWO,MCD,VMC,LHX,ICE,KO,KMB,WRB,BLL,RSG,MDT,FIS,FISV,EW,TFX,DHR,MRK,SYK,ZTS,HOLX,IDXX,BSX,RMD,STE,NOW,PAYC,PG,MDLZ,PGR,TRV,PEP,AIZ,WM,LMT,NOC,NDAQ,MSI,RE,CL,CINF,VRSK,CB,COTY,DRI,COG,IRM,CTL,HRB,SEE,MO,EA,DPZ,PM,KR,INCY,HUM,REGN,AMGN,VRTX,ALXN,ABMD,ALGN,CNC,XRAY,ANTM,ABC,UNH,MCK,CI,YUM,ORLY,JNJ,DGX,WMT,STZ,BXP,CHTR,SYY,SPG,MNST,TMUS,AKAM,SLG,CERN,KMI,SBUX,ULTA,ROL,LYV,EL,CRM,ATVI,VNO,LLY,FTNT,COST,Cluster
RF,46,70,36,48,42,78,58,40,56,80,54,48,68,74,40,62,40,64,58,64,52,56,52,66,68,42,72,76,44,72,38,60,68,34,42,44,54,30,46,54,36,68,68,64,58,42,52,54,42,46,42,42,72,52,10,38,44,36,42,80,38,44,46,48,66,44,78,38,102,48,64,70,78,94,30,120,140,56,70,124,78,44,60,128,136,116,96,148,124,110,100,118,118,138,138,126,116,152,124,110,116,0,134,104,114,114,86,96,94,132,112,144,78,90,82,74,70,86,76,80,64,102,88,66,74,78,110,82,72,96,78,84,78,82,68,96,90,84,76,90,114,80,92,112,70,90,94,92,94,106,86,76,130,90,68,72,92,92,70,70,74,84,74,96,90,80,88,80,66,86,70,76,110,62,52,62,102,60,84,72,86,56,66,84,60,68,72,58,90,58,52,60,68,82,34,72,66,50,70,78,106,86,76,40,76,56,68,82,66,76,74,68,54,82,50,78,46,60,90,54,54,76,64,74,68,52,110,88,54,58,76,74,78,62,74,58,80,44,62,56,66,66,78,56,70,46,44,60,68,70,82,64,82,50,70,84,64,-8,-14,-44,-18,-34,-18,-46,-30,-6,-44,10,10,12,-16,-24,-10,14,18,2,-2,4,-6,20,26,-28,-16,-16,-42,-24,-20,-32,-54,-14,-8,-18,-52,-64,-30,-4,-22,24,56,42,40,38,52,54,48,30,20,48,34,64,34,28,58,50,34,52,56,32,24,54,52,38,64,24,42,56,40,72,22,44,44,36,40,42,44,44,14,36,54,32,42,20,64,42,72,24,18,42,40,62,26,32,42,68,40,36,68,42,20,2,34,20,2,6,12,32,6,24,18,20,4,2,6,28,22,0,0,-22,32,2,16,4,28,26,10,8,0,18,-40,12,-18,-12,-6,-4,-8,-30,-28,-10,2,6,-6,-6,-14,-4,28,2,-6,28,24,6,8,26,32,12,46,26,46,42,34,22,40,4,8,4,2,34,26,-6,42,-12,24,18,30,2,38,-12,26,14,0,38,32,22,40,20,32,28,6,0,30,14,24,10,28,18,24,16,42,26,34,18,14,48,36,20,20,14,12,20,20,32,18,38,50,22,14,38,28,42,18,34,22,8,6,40,18,22,24,8,26,20,14,28,16,19
C,48,62,62,66,74,88,80,58,64,80,62,46,64,74,54,90,54,92,66,82,62,62,86,90,76,56,90,72,46,62,86,76,98,56,58,88,50,54,80,76,54,70,88,80,68,78,78,84,80,84,72,86,96,88,54,78,74,60,80,106,62,66,90,72,98,58,120,58,90,48,98,80,90,110,56,118,118,90,90,110,70,50,60,132,138,134,124,136,120,124,118,118,136,140,166,138,158,138,122,110,116,134,0,116,154,138,98,102,114,134,122,134,118,108,112,108,78,118,104,92,90,94,98,116,84,82,132,110,106,116,104,118,104,114,92,122,98,102,108,106,114,102,112,120,104,96,108,112,102,128,108,82,142,96,86,102,110,108,88,90,108,92,98,94,126,94,126,106,80,104,104,110,98,78,86,76,88,92,86,108,90,76,86,94,56,78,90,108,98,108,82,82,94,74,90,96,74,82,100,86,78,90,100,80,106,92,82,82,92,114,74,106,86,112,80,102,68,88,82,80,82,90,68,92,96,88,114,96,74,96,98,86,96,78,116,82,100,82,92,80,66,78,90,72,102,62,72,92,86,78,94,96,106,70,68,108,82,-8,20,-26,20,-36,4,-30,-10,8,-24,-4,-2,14,-20,-36,-14,0,4,-8,-4,-10,-10,14,12,-2,0,-34,-20,-20,-32,-38,-46,-28,-34,-26,-16,-44,-38,-18,-2,60,64,52,48,70,56,48,56,58,38,62,44,64,46,64,66,60,62,64,64,44,64,42,68,72,56,68,74,76,58,76,46,54,54,52,68,52,46,80,42,50,76,64,66,58,80,72,80,56,46,62,42,68,54,60,70,72,68,64,90,58,54,-12,18,12,-14,16,6,24,-4,22,28,4,0,22,12,36,20,18,14,10,36,10,16,2,36,20,28,28,2,14,-20,26,0,6,18,20,8,-6,4,10,8,18,12,20,-14,0,32,10,16,48,76,24,40,22,40,14,38,50,30,52,28,2,38,26,22,26,22,56,38,14,58,26,38,50,62,14,62,32,30,34,36,44,18,30,36,40,32,34,26,14,50,36,40,2,52,38,34,20,40,46,66,56,20,66,42,56,42,54,28,20,38,44,32,44,64,46,40,30,52,68,44,48,42,34,4,28,38,40,46,36,40,44,26,62,30,14
STT,62,54,52,58,50,74,46,46,62,52,30,50,58,70,46,52,40,70,44,50,46,40,44,72,68,38,70,64,48,58,34,70,80,46,52,64,48,32,42,48,42,60,58,56,40,20,50,44,40,48,44,58,44,68,20,44,36,62,46,80,48,26,44,46,52,30,88,30,90,54,70,64,54,102,44,104,106,58,56,82,70,50,74,110,92,124,112,120,98,94,114,114,94,112,116,96,126,90,114,110,118,104,116,0,110,130,118,94,110,118,116,114,104,106,104,96,80,106,86,84,92,84,98,98,94,60,100,108,74,80,82,114,102,114,88,80,94,106,82,86,100,76,104,92,90,84,74,72,82,108,92,64,116,92,88,66,94,106,86,90,98,88,72,108,96,96,120,90,56,90,88,100,76,80,70,52,70,82,72,50,82,80,70,94,76,54,80,70,78,66,64,74,48,82,48,64,64,68,74,90,72,46,68,70,84,64,72,68,66,62,72,72,60,72,78,72,74,54,76,84,66,70,60,78,66,72,82,80,54,66,78,84,96,60,86,78,60,54,74,74,78,76,78,78,70,54,66,82,82,64,90,62,76,74,68,84,76,6,6,-10,16,-40,0,-12,-14,4,-26,-14,-26,18,-30,-28,-14,-8,8,-20,-32,-16,-26,2,-10,-42,-32,-38,-40,-34,-40,-54,-70,-40,-40,-50,-48,-52,-48,-32,-54,22,84,34,64,40,64,46,54,44,64,74,54,64,46,62,78,46,44,62,30,30,44,44,58,46,44,64,60,54,54,62,24,36,40,44,76,58,46,62,26,42,62,58,46,60,82,48,64,32,32,50,54,30,60,48,48,74,46,64,76,72,18,-18,10,6,-12,-12,-18,14,-22,-18,8,-14,-10,-18,6,16,36,4,28,14,10,28,-6,14,22,18,2,12,-14,36,-8,22,-44,-26,14,24,-20,-4,0,4,22,-6,-14,8,-22,-22,0,8,8,24,16,20,8,8,28,6,24,24,36,28,6,8,24,24,16,12,2,20,36,-12,50,8,8,32,44,24,48,6,26,12,20,18,36,26,28,10,14,56,32,22,22,40,16,44,52,30,52,28,70,36,42,36,4,40,2,26,28,46,36,12,26,34,14,32,42,26,16,20,26,48,8,18,46,12,14,16,20,28,48,40,36,16,30,42,22,4
JPM,52,68,46,60,66,64,56,66,54,76,60,52,52,64,38,64,26,92,70,68,62,70,76,82,58,62,64,72,32,62,68,66,78,64,42,76,40,54,66,60,38,50,64,56,56,60,52,58,50,66,48,56,70,56,30,58,52,60,58,88,40,52,58,56,72,54,94,32,94,40,68,56,86,112,30,92,106,48,62,90,68,28,80,126,120,116,106,128,102,100,86,84,138,128,152,112,148,118,108,116,102,114,154,110,0,150,108,98,104,146,114,120,110,100,86,94,72,88,84,98,92,88,104,100,78,74,112,86,92,90,102,116,100,98,92,102,102,84,90,114,114,86,100,116,92,92,110,90,86,104,102,84,130,98,88,84,94,106,74,96,102,96,80,76,110,74,118,104,76,94,102,102,104,82,88,76,96,88,74,86,110,66,76,86,50,62,84,88,78,102,74,72,82,54,88,82,76,84,104,92,70,92,54,64,78,90,84,54,88,90,86,74,78,94,80,86,58,88,82,62,62,84,74,80,92,66,88,72,74,66,84,82,94,80,94,72,70,84,80,86,64,58,94,70,100,48,70,90,84,80,84,90,94,54,88,96,68,-10,10,-18,2,-32,0,-16,-38,24,-14,-14,-12,8,-22,-18,-2,0,4,4,-10,-2,-18,8,6,-20,-10,-24,-46,-24,-34,-40,-42,-24,-26,-24,-38,-36,-44,-16,-30,54,76,58,52,68,62,60,62,46,44,60,36,70,56,66,74,72,58,52,42,32,48,36,54,62,62,58,74,90,58,80,52,68,46,80,70,46,48,64,32,44,86,58,68,62,86,66,70,52,40,66,52,50,50,54,70,80,64,74,96,66,58,-2,14,0,-4,8,28,16,-14,26,44,8,8,12,30,22,20,4,14,4,42,14,18,20,32,18,24,0,2,18,14,32,-12,-2,20,18,6,-4,4,18,10,18,6,10,0,4,12,6,16,32,48,40,18,26,38,20,28,44,46,46,22,16,42,42,28,20,10,48,42,-12,48,26,30,36,42,28,58,20,18,30,24,18,24,32,22,22,26,22,28,38,46,24,32,10,60,22,42,28,40,56,68,58,18,56,44,50,38,48,20,20,32,50,44,44,54,52,42,32,40,72,46,46,44,14,-8,20,48,30,52,38,38,30,26,56,24,18
GS,64,62,56,68,78,58,70,68,52,62,52,44,72,74,52,62,46,98,70,86,66,66,64,74,72,50,64,56,64,64,74,74,76,46,68,64,52,34,54,66,46,70,84,80,64,64,58,68,56,64,52,62,72,76,48,82,62,68,64,100,78,44,62,90,76,54,92,46,88,74,84,70,100,110,68,108,118,78,92,90,78,30,78,138,126,128,120,130,104,122,102,90,126,120,148,102,152,110,130,116,120,114,138,130,150,0,100,116,110,128,116,116,118,118,106,108,94,110,94,86,122,106,120,108,100,76,122,98,94,100,112,134,100,114,96,102,108,124,84,108,128,98,94,104,98,104,116,100,114,116,108,92,122,100,102,96,88,112,90,102,104,92,100,114,100,88,124,110,96,96,90,80,92,82,90,92,78,92,86,80,102,92,82,86,84,82,94,86,74,92,72,78,80,80,90,84,88,78,96,100,90,104,62,68,94,106,80,74,86,92,80,74,78,92,88,116,84,70,100,84,68,84,66,106,96,78,94,90,84,90,98,92,104,82,90,84,90,82,90,108,90,88,94,94,90,66,84,84,76,84,92,94,90,70,74,86,82,-2,-2,-28,-6,-48,-10,-22,-24,6,-32,-18,-14,2,-26,-28,-26,-22,-4,-20,-32,-22,-44,-6,4,-28,-36,-42,-54,-38,-38,-52,-62,-36,-42,-46,-46,-38,-58,-36,-26,54,92,66,74,74,72,64,68,58,46,72,52,64,46,58,80,58,62,58,48,36,50,68,60,72,62,68,68,80,50,92,44,60,54,52,76,42,34,68,46,42,80,64,58,58,88,54,76,52,46,50,30,56,50,66,58,76,56,64,98,60,48,-22,10,20,-20,-8,-4,0,-24,-2,22,0,-4,6,12,18,14,6,6,-10,16,14,4,16,24,16,14,-6,10,2,4,22,-20,-12,18,26,-4,-4,-8,22,12,18,4,8,-22,-6,8,22,4,38,40,50,26,24,34,32,46,50,42,46,24,20,46,34,26,26,16,16,34,-2,38,14,30,38,36,18,28,22,10,26,12,20,42,34,26,36,36,32,32,38,20,34,34,26,50,28,50,30,62,52,50,50,22,58,16,54,20,48,18,18,24,34,46,32,40,34,34,26,40,60,44,24,40,26,20,20,32,46,58,44,52,14,14,46,44,11
BK,36,42,30,24,58,62,56,38,44,46,32,80,46,46,46,38,14,82,62,50,24,34,18,90,24,38,38,66,44,72,44,64,52,66,24,40,44,16,48,50,66,24,54,66,52,40,28,54,48,34,48,46,52,50,16,48,32,40,38,68,74,14,42,46,50,44,82,32,70,38,52,54,74,98,14,72,84,24,54,68,28,40,68,100,98,106,84,122,90,88,76,78,118,108,114,78,110,92,130,90,96,86,98,118,108,100,0,78,88,118,104,96,88,100,74,78,68,100,70,68,74,72,80,70,82,56,78,88,102,56,78,90,98,88,76,62,72,72,82,90,106,56,86,90,64,90,78,74,62,104,44,56,118,72,64,68,96,96,58,76,90,86,70,82,96,92,94,76,58,76,78,90,66,56,74,58,60,68,36,86,78,60,54,90,56,42,68,88,60,78,68,64,58,66,60,60,42,68,70,78,68,46,80,74,72,80,64,74,88,68,54,70,58,72,54,76,48,72,58,70,58,48,66,70,50,54,78,78,58,54,52,82,82,82,82,46,46,58,82,62,56,68,48,82,92,56,52,68,62,46,96,68,46,46,80,64,58,10,-18,-30,26,-54,-18,-12,-20,8,-24,8,-8,-14,-24,-22,-8,-8,8,-8,-14,-10,-10,0,18,-36,-14,-20,-28,-26,-26,-46,-42,-24,-18,-22,-36,-60,-34,-14,-34,42,70,38,46,40,56,48,58,42,32,44,56,62,50,50,62,62,36,38,44,42,54,42,50,48,30,32,46,62,42,30,34,30,44,62,74,66,44,46,28,36,48,42,52,52,64,60,56,34,18,34,62,54,40,36,40,42,44,52,66,74,44,-8,-2,-18,-6,2,2,6,-14,14,32,2,0,0,14,30,18,6,30,2,24,26,20,22,16,26,-10,14,0,18,-18,40,-16,-30,0,24,-12,-10,-2,26,-2,20,8,-6,-6,-6,8,26,0,44,42,24,34,44,32,22,48,48,70,50,24,16,44,10,6,20,16,16,14,-10,50,6,6,26,20,10,46,6,12,22,40,10,30,4,0,10,4,38,10,48,32,30,38,28,36,44,44,16,38,44,44,52,20,18,28,36,46,58,24,34,38,58,28,22,38,2,28,16,32,48,34,22,56,16,34,-10,36,18,26,34,62,16,34,56,8,2
BEN,34,64,38,48,66,62,54,46,66,58,56,24,50,50,54,48,66,84,56,66,64,70,56,66,54,64,54,30,36,56,66,56,46,46,62,46,62,34,60,72,56,42,44,60,44,48,50,46,64,44,44,60,66,52,20,62,34,44,52,76,68,38,54,56,82,58,82,36,94,76,72,52,86,88,42,92,104,62,58,84,90,24,68,130,98,106,90,112,112,106,102,104,108,104,116,98,114,102,116,84,120,96,102,94,98,116,78,0,94,92,96,108,106,100,92,106,78,86,96,74,88,96,106,102,102,88,104,90,100,96,116,112,92,100,70,86,98,80,102,98,112,84,86,92,92,84,118,96,90,88,82,72,114,96,96,70,88,82,74,110,112,86,100,112,78,98,100,88,54,114,68,78,80,70,66,54,76,78,62,72,84,70,72,82,62,70,72,76,96,70,66,64,78,68,64,102,78,70,80,88,76,82,74,66,86,80,68,68,84,88,74,58,72,88,90,94,42,84,72,68,68,74,58,98,90,82,90,72,70,72,82,78,76,84,106,76,80,70,64,74,86,70,80,72,52,62,78,70,84,50,74,94,88,70,82,86,56,8,2,-32,-26,-42,-10,-14,2,-20,-20,-18,-32,-4,-22,-22,-12,0,6,-22,-22,-18,-16,0,-14,-20,-24,-52,-32,-26,-44,-40,-46,-36,-46,-34,-24,-34,-52,-24,-16,48,66,70,40,50,52,70,64,48,54,40,40,72,28,56,60,70,78,66,34,54,32,60,54,60,64,68,64,80,44,70,38,60,50,54,70,24,42,60,28,48,54,66,46,62,64,72,62,42,52,54,38,70,58,50,46,70,56,68,62,42,52,-16,26,16,-18,12,0,2,-6,8,16,18,4,22,16,8,8,16,20,-8,42,14,30,8,4,18,16,4,8,10,-8,20,-28,-18,24,24,-12,0,-20,2,22,28,4,6,-16,4,20,16,12,20,34,28,32,20,48,8,44,40,28,28,30,10,32,32,20,26,18,44,46,16,20,28,44,14,38,30,24,24,42,42,32,28,48,28,26,6,32,32,24,26,46,24,20,6,30,30,40,36,54,30,36,32,30,58,32,38,20,36,18,32,8,26,56,52,44,24,46,46,30,44,52,30,48,8,16,46,48,48,44,34,20,26,12,44,44,20
PRU,66,70,64,74,74,78,52,66,56,54,38,48,66,68,34,62,32,70,78,80,38,52,78,42,62,60,64,38,54,90,50,60,74,48,70,78,54,40,60,64,52,66,88,64,52,44,44,50,82,52,46,56,66,50,46,90,70,78,62,90,88,32,72,66,80,60,78,44,126,54,52,74,74,108,40,96,88,62,68,80,74,36,88,140,90,130,134,112,104,114,118,66,116,130,104,110,112,104,104,124,120,94,114,110,104,110,88,94,0,112,106,94,116,96,106,102,90,112,102,90,96,88,104,98,78,76,108,82,96,90,96,108,118,120,82,96,106,100,98,108,94,94,98,104,102,92,114,86,88,106,80,102,124,120,94,78,86,106,90,84,110,102,78,92,90,74,104,108,78,78,124,110,92,78,82,78,76,100,74,78,104,78,76,80,70,72,100,80,90,82,78,74,84,68,64,82,64,72,78,90,60,86,62,88,66,84,62,72,84,70,64,68,66,74,90,54,86,74,50,74,86,38,56,60,110,58,88,74,66,84,72,78,94,70,88,86,72,74,88,76,84,58,80,76,70,64,78,70,84,62,88,80,84,82,90,100,70,-28,38,-24,-14,-10,14,2,8,-24,2,10,-2,28,14,0,2,10,48,16,4,8,4,28,14,-52,-6,10,-54,-12,-12,-24,-58,-12,-20,-26,-38,-42,-18,4,-24,48,78,64,60,40,78,66,66,64,62,66,38,90,60,56,76,56,68,84,62,32,34,52,70,74,74,76,78,72,72,94,66,62,64,46,82,72,64,82,44,70,94,70,96,72,86,78,66,54,56,86,64,74,72,68,68,82,74,84,92,78,54,-10,28,4,-6,-6,-4,22,-12,18,16,-12,-6,0,32,12,42,22,0,10,14,32,26,40,26,40,28,18,-4,68,-12,44,-26,-2,32,20,6,12,18,4,12,44,18,34,0,4,46,8,24,36,30,28,42,16,44,42,24,44,30,40,36,16,32,56,28,40,4,72,56,20,80,46,36,56,56,50,70,32,44,62,42,18,28,36,38,8,14,40,50,28,26,48,40,32,46,40,52,38,58,32,34,38,34,44,32,42,38,44,16,40,46,38,42,26,44,26,48,14,68,58,46,34,62,56,20,34,36,44,48,50,36,28,52,64,28,18
PNC,64,62,36,52,66,78,50,54,44,60,60,36,40,46,44,70,14,78,62,76,48,38,58,84,60,40,62,44,60,74,40,60,74,52,32,66,58,40,64,54,40,66,66,76,74,62,48,72,56,58,58,58,76,62,44,56,58,60,52,90,60,44,70,58,74,54,84,10,92,48,54,52,60,98,38,118,126,50,70,112,44,36,66,116,146,128,104,160,122,114,74,114,152,154,158,152,120,122,116,108,86,132,134,118,146,128,118,92,112,0,110,140,98,88,64,96,70,90,96,96,70,70,84,92,66,60,94,78,74,100,96,90,74,92,92,84,72,90,76,98,140,90,82,114,92,84,108,68,82,118,72,66,136,94,68,72,96,88,80,74,88,92,92,78,80,82,106,92,94,96,108,96,104,52,84,94,94,80,70,78,92,80,62,102,60,54,78,78,70,80,66,66,82,68,70,84,78,58,84,70,82,86,68,74,84,66,64,62,76,72,68,90,48,74,72,76,68,60,80,68,58,72,66,54,56,48,72,76,58,68,62,72,68,64,76,54,60,58,76,66,74,64,74,64,88,66,60,78,78,74,74,66,74,80,66,86,42,-12,12,-26,22,-14,10,-18,-16,30,-6,18,-4,12,-2,-16,-6,4,16,-4,0,-4,-18,20,6,-32,-6,-8,-42,-18,-24,-36,-48,-10,-12,-8,-28,-34,-20,4,-20,54,64,44,50,58,64,58,52,42,40,52,52,62,66,64,58,70,36,50,46,36,60,46,60,72,50,62,58,76,46,56,44,60,62,82,78,60,58,64,36,42,76,56,66,40,92,60,76,52,38,60,58,74,56,48,58,62,64,70,104,80,56,6,24,0,-8,14,14,36,-2,16,24,6,-4,-4,28,28,44,6,30,-8,36,18,18,12,26,20,8,0,22,16,-6,38,-2,-6,6,32,10,4,-6,18,12,32,4,16,10,12,38,24,28,40,52,58,20,28,28,30,50,70,54,42,44,24,64,24,28,24,4,42,32,-6,50,30,34,38,34,20,62,24,22,38,32,16,26,14,4,24,-2,36,26,26,38,16,10,18,58,28,48,14,30,44,58,50,16,42,44,44,38,30,38,16,52,42,38,40,58,22,32,22,52,54,44,34,38,40,-4,2,52,30,52,26,42,34,36,32,30,14
ETFC,56,68,60,70,98,58,60,54,48,62,46,32,46,50,30,42,46,78,96,68,56,50,58,74,34,40,50,54,48,60,46,42,52,40,62,60,54,8,46,72,64,46,64,52,72,52,42,74,62,64,70,56,78,68,50,66,42,50,64,84,72,36,76,40,82,52,98,46,78,56,78,70,78,134,58,104,92,72,78,94,52,54,64,120,92,126,92,108,102,88,102,78,108,124,124,90,134,96,114,124,102,112,122,116,114,116,104,96,106,110,0,114,106,88,74,102,58,104,92,92,88,90,80,90,64,56,92,90,84,72,84,104,86,104,92,102,106,88,86,100,102,80,90,104,94,60,108,110,84,98,78,76,126,88,82,74,92,92,64,98,92,96,82,98,82,90,108,96,58,82,70,82,100,80,78,54,86,68,80,86,104,78,78,80,76,76,76,68,76,78,66,80,66,74,76,68,68,68,82,78,62,82,82,62,70,68,58,88,70,88,68,72,66,70,74,86,44,60,66,90,68,50,68,76,86,70,76,80,54,60,66,74,94,56,84,70,76,76,72,70,64,76,74,62,78,62,82,68,68,58,100,80,68,74,64,82,82,-14,30,-16,18,-12,-6,-10,4,-4,-8,-4,-30,0,-28,-18,0,-2,4,-16,-26,-30,-16,-8,-2,-48,-24,-34,-42,-36,-36,-34,-38,-34,-34,-42,-42,-26,-40,-36,-22,34,68,62,46,70,56,42,50,46,46,60,64,62,46,64,62,52,48,44,38,46,54,46,42,74,52,50,76,62,68,64,40,62,44,64,68,58,48,66,32,42,70,64,68,56,70,46,90,50,60,52,42,62,58,74,88,68,58,74,84,74,56,-16,4,-8,-18,-2,-12,4,-20,0,12,-6,-6,-4,18,8,28,36,16,4,36,18,16,24,24,22,6,38,10,20,-6,42,-14,-14,36,44,-10,0,12,8,40,38,22,44,-18,0,16,36,16,20,54,46,16,24,52,18,32,40,46,28,24,6,22,32,24,34,10,34,34,12,50,32,38,48,60,28,34,6,18,40,26,42,30,20,32,8,16,32,42,12,32,34,10,30,42,52,28,34,44,30,52,42,10,36,18,26,18,36,32,26,24,28,12,42,32,32,38,-4,42,52,22,26,16,28,14,28,56,42,40,52,38,8,32,58,46,11
CFG,54,82,42,52,68,76,70,56,66,80,66,26,48,62,70,78,32,82,60,82,52,58,74,96,68,48,74,58,40,66,60,72,78,64,30,42,78,28,68,66,44,66,54,56,58,66,46,72,56,56,58,58,84,54,28,54,48,60,64,84,36,40,58,46,62,50,80,50,84,42,72,50,88,110,48,136,134,58,70,106,84,52,58,122,152,124,118,156,126,120,110,140,118,136,152,138,120,134,126,100,112,144,134,114,120,116,96,108,94,140,114,0,110,90,86,106,82,126,82,94,66,88,106,86,72,74,112,92,86,108,112,106,100,112,74,106,100,74,98,108,142,90,112,124,110,82,100,90,102,124,90,76,122,98,92,76,98,94,102,90,110,82,84,88,104,94,108,76,54,106,90,96,110,70,74,50,104,66,86,70,88,82,68,106,82,74,92,72,100,66,72,68,92,86,52,82,58,68,76,80,90,92,82,64,104,76,84,76,80,80,96,90,60,82,60,84,64,74,92,68,66,84,72,72,78,66,90,104,72,52,106,78,82,70,90,64,78,54,80,52,64,80,90,68,102,76,54,94,82,76,88,86,108,60,78,102,68,-10,-8,-52,2,-4,-8,-32,-22,6,-36,-4,-16,-6,-22,-26,-28,2,-6,-8,-4,-20,-16,22,16,-20,-8,-24,-40,-26,-28,-34,-62,-16,-22,-30,-36,-48,-28,-16,-24,42,52,42,30,66,62,64,56,50,54,52,44,70,34,60,50,64,70,66,52,48,52,60,62,58,58,40,68,72,38,72,36,42,38,46,54,46,50,62,22,50,62,62,60,42,90,56,74,62,50,56,54,68,50,46,48,58,72,50,78,66,44,2,24,18,-8,14,8,36,4,24,36,20,14,16,14,36,46,4,16,-20,38,10,8,10,22,14,10,16,32,14,-2,20,2,-12,16,34,14,-12,-10,-10,6,12,8,-2,-8,14,30,12,6,44,34,38,20,32,56,30,54,46,44,50,36,18,60,28,38,10,14,30,38,-6,42,16,44,54,30,18,44,-2,32,30,18,24,44,10,18,12,16,32,12,12,42,18,30,22,54,30,38,18,32,48,64,36,26,60,52,52,62,42,22,16,36,54,18,36,56,32,38,32,40,64,24,28,66,26,24,26,34,38,30,24,18,26,20,34,28,20
