Symbol,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BSX,BWA,BXP,C,CAG,CAH,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HP,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
APTV,58,76,52,72,44,14,28,58,68,42,98,72,64,82,52,-26,-24,18,42,66,-2,60,32,50,92,18,72,62,60,54,84,-22,62,84,44,76,-26,96,86,66,24,40,118,90,48,82,0,18,-16,52,-8,108,102,-52,68,64,70,98,46,78,72,80,60,72,68,60,116,10,10,46,28,150,48,102,18,36,124,10,-24,100,-10,78,70,74,110,8,68,74,-10,78,14,36,32,6,-2,96,74,10,10,106,-38,38,12,102,8,46,70,44,36,6,62,26,90,86,42,50,76,74,28,66,66,-8,98,88,102,122,32,14,4,22,72,80,90,84,0,44,108,6,-12,4,2,-6,66,78,84,12,42,82,68,-16,64,10,48,132,106,76,-2,-8,-48,-24,88,118,-16,-36,24,-18,110,38,-22,96,40,80,48,92,124,128,10,114,26,32,86,72,98,52,108,66,16,76,48,100,62,56,46,0,72,108,154,66,70,78,50,78,82,124,80,74,60,72,76,52,84,62,74,32,56,72,106,42,82,72,100,72,42,-20,62,54,-40,42,92,10,26,86,60,38,-4,28,118,24,76,68,124,38,74,42,68,70,124,78,76,92,52,42,30,82,84,70,8,80,82,50,0,82,-24,10,46,0,38,76,80,70,44,26,132,20,48,10,44,110,40,20,102,-34,78,54,38,86,-2,98,60,56,-10,82,104,18,100,0,78,-2,6,122,70,80,-6,12,14,62,100,18,36,90,76,6,64,108,50,60,20,70,68,74,110,48,66,76,40,-26,-20,36,-8,74,58,24,76,12,26,80,96,84,94,108,36,42,98,112,-38,92,66,96,76,24,64,16,24,80,128,-50,16,4,46,106,24,28,140,4,60,68,2,40,90,94,-16,98,22,76,100,-50,78,92,88,72,62,70,78,78,18,24,36,84,88,106,88,34,114,36,50,48,-32,76,-26,16,58,48,58,98,-14,86,34,102,38,-20,22,48,4,16,106,96,34,114,114,86,36,36,66,46,50,116,74,32,48,84,62,46,54,94,92,28,44,8,-8,48,88,102,52,62,88,-2,44,14,6,80,70,110,134,84,66,58,108,82,8,32,6,50,26,-24,10,92,64,54,106,-38,-46,68,94,44,6,30,26,6,72,58,74,100,-42,106,72,32,94,102,32,44,76,80,24
ARE,56,6,24,38,56,24,10,40,82,40,22,44,40,34,30,70,66,62,38,-8,106,42,56,38,8,58,-8,66,56,36,24,-26,60,42,10,48,78,30,4,56,32,72,16,14,44,54,18,0,72,50,112,10,36,54,20,36,-6,6,44,20,22,2,10,6,46,22,56,36,36,52,42,6,116,24,56,10,12,50,4,44,80,30,82,48,28,12,8,36,64,36,26,28,54,52,56,6,30,8,62,14,62,30,46,32,14,42,8,26,6,42,56,16,4,36,46,20,16,28,4,10,-2,76,26,4,14,0,44,34,52,52,36,26,28,28,68,36,36,-4,124,-2,72,56,22,2,8,22,34,42,42,68,52,42,40,8,14,-6,82,110,60,114,4,34,64,54,38,56,30,12,58,8,16,22,42,42,-4,10,54,26,46,30,20,28,14,42,28,30,102,-6,10,26,12,18,26,36,36,14,-6,22,26,64,42,4,40,0,36,-8,36,4,22,20,46,-8,32,44,20,50,16,32,52,6,8,-12,2,24,4,46,46,10,12,22,30,46,48,44,4,34,30,46,32,26,24,48,32,60,38,36,20,-4,14,30,36,44,30,28,16,14,28,24,40,36,84,58,66,46,28,50,26,8,30,54,-8,58,4,80,22,36,40,18,54,38,18,86,44,34,6,14,38,30,56,70,98,30,56,34,8,-8,50,52,46,18,32,26,40,30,50,50,16,30,14,2,18,42,-12,14,46,48,14,34,38,20,24,24,6,32,58,72,18,20,68,68,36,26,-20,38,34,42,28,10,10,38,40,4,4,20,106,28,36,26,42,30,-2,38,62,26,40,90,48,58,42,28,62,50,20,70,50,54,112,20,36,28,66,26,52,14,22,48,12,16,36,4,44,36,24,14,16,104,12,32,38,8,14,58,52,22,42,18,34,50,70,40,-2,46,62,-14,34,4,66,30,64,58,88,34,50,34,14,18,38,38,22,16,48,8,30,30,58,54,36,38,2,34,36,48,48,18,22,50,18,34,40,60,30,2,32,34,12,116,16,38,0,6,26,30,42,24,70,44,22,18,42,80,42,60,36,70,42,32,32,14,18,62,92,24,32,68,60,42,2,68,52,42,70,30,54,0,20,-4,48,36,8,34,58,30,40
ATO,34,-20,16,18,40,18,14,44,20,12,20,14,32,4,-18,148,122,76,30,14,62,50,74,24,-4,8,-24,32,24,24,-10,-28,20,-8,26,10,56,16,8,10,32,62,-8,-2,20,20,-16,72,0,22,64,-14,12,96,22,18,-12,-20,46,8,26,-18,4,8,2,16,22,62,46,28,54,-16,38,-4,30,10,-10,60,18,22,58,-8,28,42,-8,30,-12,-4,44,-10,26,28,74,54,50,-24,32,6,28,-16,140,12,94,8,8,50,-8,16,-8,42,2,28,0,28,56,-16,-4,22,16,4,-6,104,2,-28,12,6,50,50,24,52,2,-4,-12,8,38,14,10,-2,82,6,134,108,22,0,12,16,-14,12,24,128,40,76,46,-12,-36,-6,62,62,96,88,-4,-8,138,102,40,72,-12,26,84,-10,-2,0,18,16,-32,-26,118,-6,50,42,6,18,-16,16,-12,0,74,-10,0,24,12,-8,48,42,22,-2,-24,28,20,36,34,-14,12,-18,-10,-48,10,-24,-14,10,18,0,26,54,24,18,0,40,12,-30,-10,-6,-12,14,0,26,32,42,18,26,62,16,-6,24,34,26,-12,22,8,-16,-4,36,14,24,32,26,-18,-14,6,14,36,34,50,6,-14,-10,36,-2,32,26,56,36,64,56,4,58,4,-34,26,36,-2,58,-8,22,32,40,22,4,38,28,-2,148,12,44,-8,-10,36,-10,20,24,70,-2,10,40,-8,6,40,54,66,10,-12,14,26,32,40,52,2,50,2,-16,18,78,-10,-26,2,14,32,-8,42,-2,8,14,-34,-8,58,114,40,-8,118,24,36,38,-44,20,84,22,2,-22,-18,2,8,6,-4,8,60,0,28,8,-36,14,-2,20,32,30,-6,60,106,46,28,20,60,28,-30,42,10,38,60,32,18,-2,122,8,72,-2,10,66,22,6,16,-2,6,30,8,0,36,62,20,10,10,-18,-6,72,-4,16,34,-2,74,36,58,36,-22,26,34,0,40,-20,30,-12,16,126,16,18,90,46,-14,14,6,12,-8,8,72,6,26,52,52,10,-2,68,2,6,-2,52,56,-22,-12,50,6,16,52,30,8,-10,8,8,8,54,28,16,26,-26,12,0,0,8,4,34,-6,8,44,30,52,24,34,52,70,4,10,-26,-4,132,76,-4,16,80,70,18,30,64,12,10,58,-6,130,-12,-6,22,-2,24,26,52,-4,18,42
ATVI,68,12,18,64,28,12,38,44,60,68,30,44,22,44,70,-4,16,-6,46,6,28,14,66,52,34,40,8,38,52,34,42,12,54,76,26,34,14,64,48,36,4,58,20,12,38,62,52,50,22,0,36,64,20,14,22,8,4,20,28,32,58,20,42,62,62,34,66,36,4,54,24,36,48,40,24,20,38,50,-10,62,34,48,76,52,46,44,4,18,-18,26,24,38,28,10,22,-6,30,-6,26,16,10,24,12,52,-4,46,18,18,6,32,36,60,32,46,42,16,64,44,26,14,40,8,20,30,34,28,4,50,-2,30,36,34,40,4,18,18,48,-4,16,10,38,16,58,40,58,4,92,42,48,10,40,0,50,24,42,20,26,26,20,22,38,26,12,14,24,32,18,44,18,32,18,40,52,50,20,42,20,56,54,52,36,44,44,44,36,22,46,50,46,54,16,40,38,40,42,40,36,54,62,44,54,24,28,52,22,24,50,12,-2,54,52,20,34,32,46,52,2,28,44,16,24,12,2,4,30,40,-30,20,50,36,42,50,48,44,10,74,42,32,36,22,30,40,18,28,44,50,50,16,32,20,30,38,46,34,38,8,10,44,50,38,24,62,10,24,32,28,20,30,34,46,2,54,0,32,66,10,14,62,60,26,14,0,68,66,24,20,26,12,36,92,22,58,50,20,46,18,72,36,18,24,36,6,10,26,36,68,34,38,2,10,20,44,30,56,44,56,18,22,56,54,56,66,38,26,46,12,-4,30,8,58,8,10,60,50,38,38,42,54,32,64,4,24,28,32,12,20,46,52,54,12,12,30,52,20,32,6,16,32,34,36,26,34,30,18,28,40,40,36,42,30,-8,40,-4,52,36,30,28,30,32,32,46,30,62,28,2,30,16,26,46,34,10,42,48,2,48,30,6,68,28,20,22,22,36,28,2,40,38,20,72,2,12,62,24,32,36,42,30,48,48,24,36,6,18,38,42,64,20,36,22,52,42,50,18,22,54,42,26,12,68,64,56,32,34,40,12,36,58,-18,8,20,44,44,44,56,86,46,32,20,40,46,42,60,18,6,28,30,76,32,50,0,10,22,32,64,28,54,12,14,40,44,52,40,2,30,38,20,32,52,30,34,44,10,50
AVB,38,0,28,18,32,28,22,32,58,48,30,24,44,0,8,86,70,26,50,0,146,48,78,76,-20,32,-12,58,48,-8,0,-24,38,18,0,14,82,8,2,46,12,78,-4,-14,34,30,-8,112,64,36,0,-2,16,42,26,38,-10,-6,46,8,32,0,-6,2,22,20,20,44,24,50,46,-12,96,6,64,14,-22,76,10,56,114,16,62,34,2,30,-30,8,64,16,34,6,78,76,54,-2,28,6,38,2,64,2,20,8,0,40,-20,26,-4,18,34,4,-6,34,36,-4,26,14,18,-4,-4,62,20,-30,4,-4,60,44,46,50,36,2,4,12,74,28,10,12,130,2,74,60,26,-18,-12,36,14,22,40,64,62,36,34,-22,-14,-6,70,164,42,146,-12,4,58,62,44,50,-2,28,110,0,0,28,42,14,-32,6,70,8,68,32,0,24,-2,36,-4,-2,110,6,2,18,30,-2,22,36,24,6,-12,26,24,32,56,-10,16,-4,12,-22,42,-4,14,8,38,-16,6,64,16,44,-2,62,30,-16,8,-14,0,20,28,58,58,0,14,26,56,38,36,44,10,54,16,46,30,10,12,34,18,44,34,48,18,-24,16,26,-4,54,24,16,28,-20,22,-2,36,6,78,36,72,32,36,74,2,-24,18,48,-32,66,-2,58,30,40,12,28,32,54,2,74,26,26,6,4,34,-14,34,64,142,4,18,30,18,2,30,68,42,-2,-10,8,62,44,46,58,10,10,4,-38,-8,36,-26,0,40,38,56,16,36,14,28,22,-22,14,44,66,20,34,66,70,18,42,-16,50,30,24,12,-2,-26,22,38,0,-2,16,122,-2,18,18,18,20,-30,50,64,14,12,78,40,78,20,10,58,40,-14,62,24,52,148,-4,14,14,56,20,18,10,-4,76,-2,6,18,2,16,6,10,0,24,86,4,12,18,-6,0,78,14,34,52,12,60,50,98,36,-20,6,32,-24,22,-4,62,0,64,74,80,26,62,58,-18,6,38,30,8,14,50,10,28,14,42,26,16,46,-10,22,36,42,38,18,12,48,38,42,72,62,34,-4,22,18,-6,160,8,22,4,-10,22,24,0,26,64,26,12,-18,40,88,64,52,26,96,18,20,38,12,8,68,110,14,48,56,80,26,18,94,16,18,52,12,78,-6,6,30,18,8,34,42,34,2,42
AVGO,66,74,54,76,46,36,60,74,88,50,94,46,56,62,68,-28,-16,0,58,46,-16,20,48,40,80,30,74,58,48,46,96,-8,58,92,28,68,-20,56,58,52,-6,40,74,54,50,82,108,10,-14,64,-2,0,76,-46,60,72,54,58,58,58,76,72,44,82,92,26,92,22,16,50,42,106,24,72,38,40,96,26,-26,74,-10,70,70,78,86,34,52,68,-12,58,38,36,30,26,10,66,54,-26,34,102,-44,14,0,76,16,58,36,30,8,24,66,30,72,60,54,24,64,54,52,66,52,-16,82,76,70,100,36,48,6,34,60,54,66,36,-8,44,108,10,0,12,-22,-22,54,50,78,8,40,64,54,-24,44,-22,64,104,96,60,-14,-8,-46,-16,62,90,-22,-14,72,-26,86,78,-42,64,52,84,60,76,88,112,-10,94,30,60,84,80,98,22,80,44,12,72,60,96,50,50,46,16,80,80,120,50,54,66,34,40,72,94,80,74,46,58,38,60,76,56,42,44,64,74,76,54,88,68,96,76,40,12,54,48,-10,18,100,-10,56,82,64,46,8,56,86,36,56,38,104,52,56,34,68,90,108,64,56,76,72,44,38,70,70,16,16,72,86,56,-4,82,16,34,74,6,28,44,68,54,22,38,88,28,64,14,60,100,40,12,88,-42,58,98,34,76,14,66,40,72,-2,88,98,20,104,34,66,38,44,92,70,70,-6,28,20,66,90,18,28,70,58,46,80,76,70,52,12,54,68,94,110,82,86,68,24,-26,0,44,-24,58,54,12,66,12,22,68,86,66,72,108,32,22,72,80,-32,66,74,68,88,64,40,24,36,60,100,-60,12,40,64,88,36,44,92,12,52,72,14,36,64,78,-44,86,10,80,76,-50,36,72,64,60,54,80,82,70,36,6,36,56,58,82,52,44,98,44,74,28,-2,74,-20,50,58,34,42,98,10,94,18,94,58,-28,2,56,16,54,78,86,26,112,106,64,60,50,46,28,54,100,64,40,60,52,62,62,40,54,80,34,60,36,12,58,96,82,20,30,74,6,62,26,-18,72,74,92,82,64,58,50,80,70,32,10,18,46,22,-40,22,60,60,66,90,-28,-42,60,68,46,6,44,22,26,54,46,40,68,-40,94,52,48,94,70,32,64,74,64,54
AVY,78,64,42,56,50,12,46,80,82,68,70,56,58,64,58,0,-14,12,44,38,14,52,62,26,68,42,40,38,54,46,48,-16,94,96,58,74,2,62,42,68,34,74,94,68,92,86,102,36,12,20,16,76,0,-18,76,60,32,78,80,50,66,68,52,70,62,40,102,54,44,76,58,104,48,80,20,16,90,38,-12,92,10,76,62,82,84,34,42,68,24,78,40,42,36,26,44,70,54,20,26,90,-18,44,16,98,14,74,32,18,18,4,68,54,58,74,74,10,54,52,38,56,46,0,70,60,88,100,18,30,-4,58,40,38,50,58,8,6,112,-6,14,2,2,-16,58,52,58,22,20,74,98,4,74,2,50,84,98,38,30,8,-22,20,90,120,0,-6,68,-14,84,28,-2,48,14,86,42,68,58,68,2,76,50,36,66,52,88,46,86,72,4,50,30,98,78,64,54,8,76,78,94,48,48,70,62,36,64,84,78,72,44,48,32,52,66,52,34,52,58,86,82,54,92,58,68,72,4,0,20,56,-28,20,68,28,40,104,56,70,32,50,88,66,90,48,94,68,70,28,66,90,110,46,90,68,54,64,40,42,62,32,10,58,94,30,-14,94,8,52,30,4,8,46,58,88,24,46,102,16,36,22,72,88,46,48,96,-8,66,46,36,62,0,72,36,64,14,62,106,16,64,-2,88,20,42,96,64,52,24,16,44,80,84,34,22,64,42,54,48,90,80,68,38,72,88,60,76,64,66,56,52,-16,-8,64,-2,60,42,40,44,22,10,62,78,84,64,60,12,40,52,66,-4,76,60,68,68,32,14,36,54,74,86,0,4,28,44,90,28,24,106,12,96,102,50,40,68,96,2,100,40,34,74,-38,42,54,94,66,52,84,70,62,24,6,70,54,76,84,62,40,102,66,80,34,28,58,10,30,62,88,94,62,18,62,36,90,58,-12,18,62,-8,48,84,72,56,84,76,76,76,30,52,58,64,94,38,52,46,62,28,70,62,50,70,40,30,52,36,30,76,76,46,48,60,12,50,34,4,84,48,74,100,78,72,70,74,40,44,38,36,72,60,-4,20,80,56,50,58,-20,-2,72,56,46,40,42,-8,30,88,36,76,54,-8,82,70,44,96,94,42,76,98,54,48
AWK,12,-38,-26,6,16,16,-18,26,22,8,-14,-10,18,-46,-10,102,130,40,30,16,58,40,46,14,-38,10,-30,16,12,-8,-22,-32,-8,-24,34,-42,84,-2,-36,16,6,44,-22,-48,26,-10,-52,54,96,14,42,-46,-18,0,14,-18,-32,-54,24,-22,8,-40,-16,-46,-10,-4,-12,48,30,38,28,-60,30,-38,48,-20,-62,76,60,-12,84,-40,8,18,-58,34,-42,-34,80,-14,32,-16,82,72,38,-70,20,58,24,-54,150,-4,42,-30,-14,8,-28,20,-14,36,0,28,-26,-18,36,-34,-16,2,-10,-24,-40,94,-32,-62,-36,-40,48,14,42,30,6,-28,-24,-2,68,-8,-34,-16,68,14,118,118,-18,-40,-20,12,-18,-20,14,116,28,36,24,-80,-72,-58,82,64,120,90,-34,-56,124,104,12,88,-46,-20,68,-30,-22,-22,8,-12,-80,-62,94,-52,38,30,-46,-10,-46,32,-50,-4,54,-20,-10,-22,-14,-44,6,80,-18,-42,-64,0,-4,-6,34,-60,-6,-52,-48,-70,-14,-60,-54,-6,0,-20,-38,46,-16,-6,-66,8,-6,-46,-46,-44,4,20,-4,-12,64,14,-36,58,42,-12,-18,20,16,34,-44,30,-38,-38,-28,26,-26,16,10,0,-42,-24,-28,-14,0,30,32,-22,-40,-24,38,-48,-20,-14,60,6,92,10,-6,66,-4,-62,-16,4,-42,48,-54,32,12,26,6,-34,42,46,-48,148,-2,6,-18,-56,22,-62,8,42,62,-36,-12,46,-46,4,24,64,30,-30,-52,-18,66,64,32,34,-40,34,2,-68,-12,64,-52,-44,10,20,44,-50,16,-36,-24,-16,-72,-30,36,134,48,4,82,32,-8,38,-52,22,10,-14,-28,-34,-62,-46,24,-20,-22,-10,86,-24,-12,-14,-28,6,-46,28,34,-10,-46,86,90,56,10,-24,56,34,-58,30,-4,0,58,12,-36,-52,120,-22,36,-42,-24,104,-20,-38,-40,-30,-10,-14,-32,-44,22,56,-16,-32,-26,-34,-36,68,-36,-28,16,6,84,-2,66,22,-62,4,20,-70,48,-74,18,-60,34,94,16,28,92,50,-54,-28,16,-40,-40,0,48,22,8,20,36,-20,-34,72,4,-28,-18,30,28,-52,-28,64,-36,26,24,8,-16,-40,-20,-16,-18,76,-4,12,16,-48,-36,-30,-40,-10,18,-2,-24,-38,38,22,74,16,28,80,72,-36,10,-28,-44,128,84,-40,8,70,84,-2,22,78,-34,12,18,-60,128,-48,-28,4,-28,-24,12,2,-12,-40,42
AXP,64,60,42,62,64,58,36,68,94,78,114,24,84,54,58,30,12,6,94,78,32,58,84,66,58,46,70,64,68,38,104,-16,62,88,50,88,-22,100,56,84,64,92,62,42,72,86,68,20,22,22,26,60,76,14,0,76,52,88,52,74,62,78,40,58,64,52,88,44,38,70,48,74,38,94,36,58,72,66,16,66,14,82,98,84,78,72,30,92,14,52,66,8,72,42,18,64,90,44,32,86,0,46,26,98,24,58,24,64,24,-10,48,50,76,106,104,2,68,28,48,80,48,22,64,26,60,122,54,56,2,40,62,64,68,78,28,44,80,40,38,20,38,-2,46,42,68,-4,6,80,88,40,68,10,64,52,74,40,38,14,2,40,66,90,22,-10,48,6,94,42,20,62,28,84,64,66,30,64,38,54,62,52,78,66,76,92,48,96,36,62,60,90,66,56,62,34,90,78,66,108,104,62,78,38,56,80,80,54,76,62,62,70,72,38,16,84,44,92,68,36,98,60,78,72,24,0,80,62,4,38,84,52,74,98,60,46,8,82,98,84,48,54,68,60,70,12,64,82,96,66,60,54,56,78,50,62,82,32,2,82,70,10,18,86,36,54,62,22,16,66,78,84,24,86,64,8,64,24,60,66,32,58,94,-8,68,98,58,80,-2,58,56,104,32,76,66,34,88,38,100,40,58,104,56,62,14,54,30,74,82,70,12,36,40,58,44,86,96,94,70,98,64,78,88,46,50,62,48,-2,-36,66,28,98,48,62,38,46,20,104,62,64,50,68,34,48,46,54,12,86,58,94,88,38,16,64,100,96,92,-20,24,34,38,78,44,82,72,26,60,60,52,44,82,86,14,70,4,64,84,-4,36,46,56,80,74,92,58,62,72,22,38,68,76,82,72,52,82,40,90,74,44,104,18,68,42,42,60,70,16,38,58,62,76,4,40,98,18,62,48,48,54,78,70,100,64,72,46,52,84,92,86,64,50,66,70,38,58,58,100,56,40,34,12,68,102,78,74,88,78,12,58,64,60,76,66,88,78,92,90,62,94,46,26,48,74,106,26,-4,22,64,52,58,70,4,6,60,66,72,58,48,68,58,64,48,26,64,20,90,66,50,62,74,54,66,56,70,74
AZO,66,66,82,56,56,54,60,64,66,46,98,40,66,58,52,18,0,42,94,50,32,56,48,36,62,58,60,62,54,46,68,-34,34,56,44,88,12,64,66,72,46,56,62,32,40,74,64,36,18,8,38,72,60,-18,76,0,58,68,58,78,46,70,44,62,52,34,72,28,34,40,48,78,60,60,42,46,76,18,-34,84,26,62,78,58,58,48,12,64,8,56,46,36,36,24,24,48,46,-6,20,102,-12,30,12,84,28,38,24,68,-8,6,66,28,70,58,50,42,72,66,56,56,48,24,78,56,42,88,46,56,20,54,22,38,36,76,56,48,72,38,46,28,26,8,58,42,56,24,10,60,62,8,68,14,12,58,64,48,38,36,-8,44,52,86,4,10,50,4,58,56,10,68,24,58,88,42,66,80,12,66,58,44,58,60,68,48,36,30,48,30,44,56,60,50,74,30,58,58,62,74,74,86,40,28,66,58,88,74,58,44,38,56,84,30,22,64,60,54,72,32,86,48,76,90,20,22,42,52,-2,26,72,14,56,58,34,74,28,58,90,60,44,50,44,56,50,42,56,90,72,36,46,62,32,72,16,50,72,42,4,50,86,26,42,62,24,14,54,6,30,32,60,36,48,46,72,16,60,26,76,64,28,24,82,-12,66,74,70,80,-4,70,48,52,38,46,56,-2,54,58,74,28,46,80,46,64,18,36,20,46,72,14,36,28,42,38,20,64,62,68,46,62,64,76,58,46,22,64,32,-20,18,36,26,46,64,32,26,48,48,60,72,54,66,76,28,22,40,54,24,62,56,66,74,120,52,40,58,76,76,-8,42,10,54,56,28,48,64,28,74,92,56,34,70,96,-2,66,38,56,56,10,54,38,52,44,70,60,70,54,46,46,48,50,56,68,40,40,68,86,62,48,12,78,38,68,52,56,62,66,22,58,56,58,74,0,68,44,36,46,46,56,34,62,76,72,60,44,36,18,74,48,50,56,50,42,74,76,56,50,86,30,72,26,24,64,62,62,52,54,68,34,54,38,30,62,42,74,54,66,50,54,82,46,16,44,48,70,50,-24,28,72,54,70,54,0,14,66,42,52,22,44,54,38,46,30,50,58,0,70,54,8,66,54,28,72,68,64,60
BA,36,46,42,46,44,0,48,42,56,56,64,22,74,28,58,-32,-12,-8,38,20,-24,40,18,28,42,34,26,56,54,54,80,-32,28,72,42,58,-32,30,64,62,26,22,30,18,50,44,70,-6,-12,4,-10,54,32,-32,52,58,0,46,26,52,48,62,54,24,38,34,66,-2,16,36,38,64,28,58,26,22,74,24,10,52,-20,48,44,54,76,12,64,30,14,20,28,22,18,20,-6,62,58,48,-18,68,-24,28,-22,52,10,24,32,52,8,0,46,44,62,40,44,-8,40,64,18,64,62,-14,32,42,36,80,24,2,-4,16,28,36,30,44,-2,38,54,12,-6,46,-16,-12,12,60,58,2,6,58,44,-18,38,-8,42,70,64,48,-4,-10,-38,-10,62,56,-16,-30,0,6,44,24,-16,14,34,58,34,54,64,66,6,48,20,14,36,66,54,52,30,50,6,38,58,60,54,26,46,-14,50,68,74,52,52,34,40,44,46,68,50,52,32,34,70,40,50,38,26,38,54,38,58,16,60,30,74,58,14,28,36,28,0,20,74,40,38,52,52,40,26,18,72,62,22,24,66,58,52,6,54,52,74,40,60,58,20,46,6,28,42,52,16,42,60,10,-18,68,-2,24,12,-26,12,22,32,24,42,40,62,8,30,22,50,24,14,38,52,-28,46,64,94,66,0,56,32,46,-16,52,40,20,42,12,52,14,6,48,44,42,0,34,0,36,54,4,2,44,46,16,50,56,62,62,48,48,14,56,30,22,44,48,58,-24,-4,26,-16,48,26,50,24,50,12,46,70,48,52,70,-10,8,34,38,-24,42,56,46,52,14,38,42,48,38,60,-34,6,20,36,62,18,50,82,14,46,42,-2,16,32,74,-14,60,-24,30,70,-20,36,40,46,54,52,50,52,36,-4,-10,42,42,56,64,50,0,64,28,48,70,0,60,-44,20,44,-6,36,52,-6,40,20,48,34,-32,10,74,14,14,52,56,4,52,44,34,14,14,6,4,60,44,38,-14,24,48,30,26,22,76,74,32,66,10,-2,16,42,68,30,34,66,-4,38,60,16,50,52,66,76,46,56,20,56,40,10,24,40,60,12,-38,-6,46,34,24,78,-16,-32,48,28,14,6,24,6,8,34,8,26,66,-32,44,68,24,68,54,16,24,46,52,32
